hotel_name,yelp_business_id,restaurant_name,rating,price,categories,restaurant_lat,restaurant_lon,distance_m,url
New York Marriott Marquis,W1QeE56tf2v1XtjaqHbXEA,Twentyonegrains,4.0,,"['gluten_free', 'salad', 'wraps']",40.7597,-73.98734,131.87964210175807,https://www.yelp.com/biz/twentyonegrains-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,R77JPNrA7EQybGCzd5wnVQ,Thai Eats ,5.0,,['thai'],40.7597,-73.98734,131.87964210175807,https://www.yelp.com/biz/thai-eats-new-york-4?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,HIcBIF5qQLhQDmCVVzM4XQ,Ben's Fast Food,3.5,,"['newamerican', 'hotdogs', 'gluten_free']",40.7597,-73.98734,131.87964210175807,https://www.yelp.com/biz/bens-fast-food-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,sAx8zrP_Z1TNLYkFtYU0Vw,Jak’s,0.0,,['newamerican'],40.757434,-73.986695,132.88071550521778,https://www.yelp.com/biz/jak-s-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,WHY_clMkVCIDggOrg1zxYQ,Crispy Karma,0.0,,"['hotdogs', 'chicken_wings', 'burgers']",40.759652985395846,-73.987011,133.03198928145488,https://www.yelp.com/biz/crispy-karma-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,ef8XQ9hrW5ANwA-oxnUyGA,Bistro46,5.0,,"['french', 'wine_bars', 'tapasmallplates']",40.759776,-73.988232,134.6484201588087,https://www.yelp.com/biz/bistro46-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,PoZ0FRYyVoEfMbw3oleINg,Raising Cane's Chicken Fingers,3.8,$$,"['chicken_wings', 'hotdogs']",40.7573616,-73.98627993275956,139.68217955204568,https://www.yelp.com/biz/raising-canes-chicken-fingers-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,o30waVOiebr0h4KcaZmPjg,Dilli Dilli,4.0,,['indpak'],40.75985202962637,-73.9867021,143.1822829980553,https://www.yelp.com/biz/dilli-dilli-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,Fv6ueSQwc_ITpXEhybHvtA,RA Sushi,3.7,$$,"['japanese', 'sushi']",40.757596,-73.987384,147.42678009117094,https://www.yelp.com/biz/ra-sushi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,cw7K31iO2tb5drMtqZ9F8w,Sardi's,3.5,$$$,"['tradamerican', 'italian', 'steak']",40.75789,-73.98755,148.50598449028266,https://www.yelp.com/biz/sardis-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
New York Marriott Marquis,Tq9syH1HCQC9rmPKlmUOnQ,Cinnaholic,3.0,,"['bakeries', 'desserts', 'vegan']",40.75981,-73.98702,148.74892562338155,https://www.yelp.com/biz/cinnaholic-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,sHQlr-WQD7rcGhRK9bFA6g,Restaurants,0.0,,['restaurants'],40.757519,-73.970047,7.103765815575829,https://www.yelp.com/biz/restaurants-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
